feature_index,feature_name,control_mean,control_std,control_median,control_iqr,irbd_mean,irbd_std,irbd_median,irbd_iqr,mean_difference,median_difference,percent_change,control_normal,irbd_normal,control_shapiro_p,irbd_shapiro_p,test_type,test_statistic,p_value,p_value_corrected,is_significant,effect_size,effect_size_interpretation,is_large_effect,significant_and_large
335,Feature_0335,0.009690923,0.0031003272,0.009363785,0.004211610066704452,0.018337186,0.0058372477,0.017632525,0.007271353155374527,0.008646264,0.00826874,89.22023,True,True,0.8590945798084644,0.08202182072608617,Independent t-test,-8.477826328798443,5.593772462358021e-12,5.728023001454614e-09,True,1.8500134944915771,Large,True,True
979,Feature_0979,0.029953057,0.008850123,0.029713191,0.011776435654610395,0.055532705,0.020237226,0.052927762,0.02723738644272089,0.025579648,0.023214571,85.399124,True,True,0.8528462727802935,0.12004429931709082,Independent t-test,-7.505284282828559,4.993424261143125e-10,5.11326644341056e-07,True,1.6377872228622437,Large,True,True
367,Feature_0367,0.041999765,0.013218497,0.041408412,0.015225918963551521,0.06683721,0.01953253,0.059766423,0.03298419900238514,0.024837442,0.01835801,59.1371,True,True,0.6719957030847793,0.051401368191596825,Independent t-test,-6.824913321791938,2.3152979270646017e-09,2.370865077314152e-06,True,1.4893181324005127,Large,True,True
323,Feature_0323,0.0045146504,0.002041776,0.004398453,0.002294492849614471,0.008846861,0.003817344,0.008515362,0.004894868237897754,0.004332211,0.0041169086,95.95894,True,True,0.3089887510404769,0.5123401963260552,Independent t-test,-6.485422109183597,1.5913195853484715e-08,1.629511255396835e-05,True,1.415235161781311,Large,True,True
249,Feature_0249,0.016264355,0.0069321715,0.016040705,0.008454398019239306,0.030273233,0.012661027,0.02921295,0.01399944769218564,0.014008878,0.013172245,86.13239,True,True,0.9742369706883696,0.3725281238580533,Independent t-test,-6.28961933756595,3.2958363011040846e-08,3.3749363723305826e-05,True,1.3725075721740723,Large,True,True
466,Feature_0466,0.0039799386,0.0013824784,0.0036617643,0.00207259610760957,0.0066417833,0.0025058903,0.0063150856,0.0032654983224347234,0.0026618447,0.0026533213,66.88155,True,True,0.45052149993392754,0.4854011782559825,Independent t-test,-6.027621668637105,9.15527372368347e-08,9.375000293051873e-05,True,1.3153349161148071,Large,True,True
745,Feature_0745,2.5571544,0.18842857,2.5440726,0.24942463636398315,2.2926924,0.23568031,2.3496585,0.3279639482498169,-0.264462,-0.19441414,-10.342042,True,True,0.3841880688974305,0.05183611493291615,Independent t-test,5.679978206319105,2.205606835521774e-07,0.00022585413995742965,True,-1.2394728660583496,Large,True,True
743,Feature_0743,0.43562073,0.06429162,0.4226259,0.06743171066045761,0.3495621,0.07866212,0.3490841,0.09594622999429703,-0.08605862,-0.07354179,-19.755402,True,True,0.3149820732803149,0.9677197740148052,Independent t-test,5.489782494620583,4.7394508369331186e-07,0.00048531976570195134,True,-1.1979687213897705,Large,True,True
479,Feature_0479,1.9366337,0.18867685,1.9050593,0.19670936465263367,1.6876006,0.22858955,1.7397498,0.31425291299819946,-0.2490331,-0.16530955,-12.85907,True,True,0.4755127221152714,0.19134134068399666,Independent t-test,5.445096066730343,5.650084921147933e-07,0.0005785686959255483,True,-1.188217282295227,Large,True,True
709,Feature_0709,0.012420998,0.005557734,0.013241176,0.006253489758819342,0.022053117,0.010133377,0.019770045,0.013284915126860142,0.009632119,0.0065288693,77.54706,True,True,0.38412798014423327,0.408277613188066,Independent t-test,-5.401146059760657,1.0520576660172524e-06,0.0010773070500016664,True,1.1786267757415771,Large,True,True
881,Feature_0881,2.6422513,0.243885,2.6103392,0.24296259880065918,2.2972875,0.33985785,2.3498893,0.4263714551925659,-0.3449638,-0.2604499,-13.055677,True,True,0.08894833567676981,0.35968913377355227,Independent t-test,5.344411842345408,9.560292739541452e-07,0.0009789739765290446,True,-1.1662462949752808,Large,True,True
999,Feature_0999,0.0017391657,0.000775382,0.0017556438,0.0008730663394089788,0.0027180505,0.0009495933,0.0025261638,0.0014118724502623081,0.0009788848,0.00077052007,56.284733,True,True,0.8255869903323053,0.1538950502317794,Independent t-test,-5.174694418903442,1.696597233983444e-06,0.0017373155675990467,True,1.1292109489440918,Large,True,True
744,Feature_0744,0.073569596,0.025285723,0.073366,0.028317783027887344,0.10894329,0.037010573,0.10365792,0.049175890162587166,0.035373695,0.030291922,48.08195,True,True,0.6215252582268274,0.08918285379727028,Independent t-test,-5.114449366025009,2.4796300195025066e-06,0.002539141139970567,True,1.1160643100738525,Large,True,True
314,Feature_0314,0.011092954,0.0040728836,0.0108284075,0.004506526282057166,0.016826037,0.006300079,0.015683541,0.00859772227704525,0.005733083,0.0048551336,51.682205,True,True,0.8343028634525602,0.21256865984155388,Independent t-test,-4.9526569689346305,4.863769663954024e-06,0.0049805001358889205,True,1.0807582139968872,Large,True,True
300,Feature_0300,4.9911146,0.49042544,4.9112234,0.744310736656189,4.4081283,0.63519967,4.4983983,0.9123665690422058,-0.58298635,-0.4128251,-11.680485,True,True,0.6823883614311355,0.5602041674788771,Independent t-test,4.708055041172339,1.0832793540957014e-05,0.011092780585939982,True,-1.0273818969726562,Large,True,True
